relative_position,army_value,current_stage,gameloop
0.8716730403295951,4675,mid,11760
0.11833013851618157,2600,mid,12960
0.12842125614914435,2900,mid,13200
0.14973710371945959,3800,mid,13440
0.14356764522522214,2775,mid,13440
0.231236344136661,3550,mid,14880
0.34579699400623576,2100,mid,17520
0.07797486975951728,2625,mid,18000
0.10384701095649695,5650,mid,18240
0.7834784673974942,4150,mid,18960
0.6419678082642002,2075,mid,18000
0.9035719431733715,6450,mid,15600
0.8009577895572282,6175,mid,16320
0.7160221662770353,5000,mid,15360
0.5955165617015001,2775,mid,15600
0.15873015873015872,2400,mid,28320
0.7765026853474374,3650,mid,13680
0.11996120848461284,2325,mid,14160
0.7274163755926426,5200,mid,13920
0.8747894901502377,3875,mid,8880
0.8567367234249291,5250,mid,13680
0.17766518724785552,6800,mid,18960
0.17711353505463562,4600,mid,19200
0.1512197066635561,4075,mid,19440
0.6257203244062116,6500,mid,34080
0.9321188540427926,7000,mid,34800
0.5774799823468761,10800,mid,37200
0.5614612900652285,9800,mid,37440
0.5768164104867334,8000,mid,37680
0.7465578303920749,3600,mid,14880
0.7187307882089605,5000,mid,15120
0.8563120073976414,5325,mid,14880
0.6396184793966543,2400,mid,13440
0.08108108108108114,7550,mid,21360
